reel,filename,category,duration,hook,observation,caption,question,hashtags,cta,formatted_caption,viral_caption,viral_question,viral_hashtags,viral_cta,viral_formatted_caption,reflective_caption,reflective_question,reflective_hashtags,reflective_cta,reflective_formatted_caption,product_caption,product_question,product_hashtags,product_cta,product_formatted_caption
76,reels/nazar-reel-076.mp4,travel,12,rental key,"The rental key was heavier than expected, like the place wanted to be taken seriously.","The rental key was heavier than expected, like the place wanted to be taken seriously.",What small travel moment felt like it belonged only to you?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Try Nazar.,"The rental key was heavier than expected, like the place wanted to be taken seriously.

What small travel moment felt like it belonged only to you?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Try Nazar.","The rental key was heavier than expected, like the place wanted to be taken seriously.",Would you have noticed this?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis,Send this to someone who notices small things.,"The rental key was heavier than expected, like the place wanted to be taken seriously.

Would you have noticed this?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis

Send this to someone who notices small things.","The rental key was heavier than expected, like the place wanted to be taken seriously. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty,Return to the smallest true thing.,"The rental key was heavier than expected, like the place wanted to be taken seriously. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty

Return to the smallest true thing.","The rental key was heavier than expected, like the place wanted to be taken seriously. Nazar gives these small observations a quiet place to live.",What small observation belongs in your Nazar journal?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Try Nazar.,"The rental key was heavier than expected, like the place wanted to be taken seriously. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Try Nazar."
77,reels/nazar-reel-077.mp4,travel,8,train window,A town I will never know passed by with laundry moving on one balcony.,A town I will never know passed by with laundry moving on one balcony.,What detail from the journey felt worth keeping?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Keep one small thing in Nazar.,"A town I will never know passed by with laundry moving on one balcony.

What detail from the journey felt worth keeping?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Keep one small thing in Nazar.",A town I will never know passed by with laundry moving on one balcony.,What tiny detail did you almost miss today?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis,Save this before the day gets loud.,"A town I will never know passed by with laundry moving on one balcony.

What tiny detail did you almost miss today?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis

Save this before the day gets loud.","A town I will never know passed by with laundry moving on one balcony. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty,Carry the detail with you.,"A town I will never know passed by with laundry moving on one balcony. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty

Carry the detail with you.",A town I will never know passed by with laundry moving on one balcony. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Download Nazar.,"A town I will never know passed by with laundry moving on one balcony. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Download Nazar."
78,reels/nazar-reel-078.mp4,travel,9,museum bench,The museum bench held three people resting from beauty in complete silence.,The museum bench held three people resting from beauty in complete silence.,What did an unfamiliar place make newly beautiful?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Notice with Nazar.,"The museum bench held three people resting from beauty in complete silence.

What did an unfamiliar place make newly beautiful?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Notice with Nazar.",The museum bench held three people resting from beauty in complete silence.,Why do moments like this stay with us?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis,Share this with someone who would understand.,"The museum bench held three people resting from beauty in complete silence.

Why do moments like this stay with us?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis

Share this with someone who would understand.","The museum bench held three people resting from beauty in complete silence. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty,Let the ordinary be enough.,"The museum bench held three people resting from beauty in complete silence. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty

Let the ordinary be enough.",The museum bench held three people resting from beauty in complete silence. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Start noticing with Nazar.,"The museum bench held three people resting from beauty in complete silence. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Start noticing with Nazar."
79,reels/nazar-reel-079.mp4,travel,10,postcard rack,The postcard rack spun too fast and showed the whole city in a blur.,The postcard rack spun too fast and showed the whole city in a blur.,What small travel moment felt like it belonged only to you?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Save it in Nazar.,"The postcard rack spun too fast and showed the whole city in a blur.

What small travel moment felt like it belonged only to you?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Save it in Nazar.",The postcard rack spun too fast and showed the whole city in a blur.,Who would understand this kind of noticing?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis,Keep this for your next quiet moment.,"The postcard rack spun too fast and showed the whole city in a blur.

Who would understand this kind of noticing?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis

Keep this for your next quiet moment.","The postcard rack spun too fast and showed the whole city in a blur. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty,Let one small thing stay with you.,"The postcard rack spun too fast and showed the whole city in a blur. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty

Let one small thing stay with you.",The postcard rack spun too fast and showed the whole city in a blur. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Keep it in Nazar.,"The postcard rack spun too fast and showed the whole city in a blur. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Keep it in Nazar."
80,reels/nazar-reel-080.mp4,travel,11,last morning,"On the last morning, even the elevator button felt like part of the trip.","On the last morning, even the elevator button felt like part of the trip.",What detail from the journey felt worth keeping?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Open Nazar when something small stays with you.,"On the last morning, even the elevator button felt like part of the trip.

What detail from the journey felt worth keeping?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Open Nazar when something small stays with you.","On the last morning, even the elevator button felt like part of the trip.",What is the smallest thing you saved today?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis,Send it to the friend who notices everything.,"On the last morning, even the elevator button felt like part of the trip.

What is the smallest thing you saved today?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #sharethis

Send it to the friend who notices everything.","On the last morning, even the elevator button felt like part of the trip. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty,Keep looking softly.,"On the last morning, even the elevator button felt like part of the trip. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty #quietbeauty

Keep looking softly.","On the last morning, even the elevator button felt like part of the trip. Nazar gives these small observations a quiet place to live.",What did today give you that is worth writing down?,#nazarapp #travelmoments #noticingpractice #ordinarybeauty,Open Nazar and save one thing.,"On the last morning, even the elevator button felt like part of the trip. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #travelmoments #noticingpractice #ordinarybeauty

Open Nazar and save one thing."
81,reels/nazar-reel-081.mp4,quiet beauty,7,golden dishes,"At 6:12 the whole apartment turned gold, including the pile of dishes.","At 6:12 the whole apartment turned gold, including the pile of dishes.",What softened the room today?,#nazarapp #quietbeauty #softlife #ordinarymagic,Try Nazar.,"At 6:12 the whole apartment turned gold, including the pile of dishes.

What softened the room today?

#nazarapp #quietbeauty #softlife #ordinarymagic

Try Nazar.","At 6:12 the whole apartment turned gold, including the pile of dishes.",Would you have noticed this?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Send this to someone who notices small things.,"At 6:12 the whole apartment turned gold, including the pile of dishes.

Would you have noticed this?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Send this to someone who notices small things.","At 6:12 the whole apartment turned gold, including the pile of dishes. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Return to the smallest true thing.,"At 6:12 the whole apartment turned gold, including the pile of dishes. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Return to the smallest true thing.","At 6:12 the whole apartment turned gold, including the pile of dishes. Nazar gives these small observations a quiet place to live.",What small observation belongs in your Nazar journal?,#nazarapp #quietbeauty #softlife #ordinarymagic,Try Nazar.,"At 6:12 the whole apartment turned gold, including the pile of dishes. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #quietbeauty #softlife #ordinarymagic

Try Nazar."
82,reels/nazar-reel-082.mp4,quiet beauty,8,made bed,The pillow kept the dent of my head for a few minutes after I got up.,The pillow kept the dent of my head for a few minutes after I got up.,What ordinary thing looked briefly forgiven?,#nazarapp #quietbeauty #softlife #ordinarymagic,Keep one small thing in Nazar.,"The pillow kept the dent of my head for a few minutes after I got up.

What ordinary thing looked briefly forgiven?

#nazarapp #quietbeauty #softlife #ordinarymagic

Keep one small thing in Nazar.",The pillow kept the dent of my head for a few minutes after I got up.,What tiny detail did you almost miss today?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Save this before the day gets loud.,"The pillow kept the dent of my head for a few minutes after I got up.

What tiny detail did you almost miss today?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Save this before the day gets loud.","The pillow kept the dent of my head for a few minutes after I got up. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Carry the detail with you.,"The pillow kept the dent of my head for a few minutes after I got up. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Carry the detail with you.",The pillow kept the dent of my head for a few minutes after I got up. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #quietbeauty #softlife #ordinarymagic,Download Nazar.,"The pillow kept the dent of my head for a few minutes after I got up. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #quietbeauty #softlife #ordinarymagic

Download Nazar."
83,reels/nazar-reel-083.mp4,quiet beauty,9,lamp click,The lamp clicked on and made the room look like it had forgiven me.,The lamp clicked on and made the room look like it had forgiven me.,What small beauty did you catch before it changed?,#nazarapp #quietbeauty #softlife #ordinarymagic,Notice with Nazar.,"The lamp clicked on and made the room look like it had forgiven me.

What small beauty did you catch before it changed?

#nazarapp #quietbeauty #softlife #ordinarymagic

Notice with Nazar.",The lamp clicked on and made the room look like it had forgiven me.,Why do moments like this stay with us?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Share this with someone who would understand.,"The lamp clicked on and made the room look like it had forgiven me.

Why do moments like this stay with us?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Share this with someone who would understand.","The lamp clicked on and made the room look like it had forgiven me. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Let the ordinary be enough.,"The lamp clicked on and made the room look like it had forgiven me. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Let the ordinary be enough.",The lamp clicked on and made the room look like it had forgiven me. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #quietbeauty #softlife #ordinarymagic,Start noticing with Nazar.,"The lamp clicked on and made the room look like it had forgiven me. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #quietbeauty #softlife #ordinarymagic

Start noticing with Nazar."
84,reels/nazar-reel-084.mp4,quiet beauty,10,warm laundry,"The laundry was still warm when I folded it, and the whole room felt briefly kind.","The laundry was still warm when I folded it, and the whole room felt briefly kind.",What softened the room today?,#nazarapp #quietbeauty #softlife #ordinarymagic,Save it in Nazar.,"The laundry was still warm when I folded it, and the whole room felt briefly kind.

What softened the room today?

#nazarapp #quietbeauty #softlife #ordinarymagic

Save it in Nazar.","The laundry was still warm when I folded it, and the whole room felt briefly kind.",Who would understand this kind of noticing?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Keep this for your next quiet moment.,"The laundry was still warm when I folded it, and the whole room felt briefly kind.

Who would understand this kind of noticing?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Keep this for your next quiet moment.","The laundry was still warm when I folded it, and the whole room felt briefly kind. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Let one small thing stay with you.,"The laundry was still warm when I folded it, and the whole room felt briefly kind. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Let one small thing stay with you.","The laundry was still warm when I folded it, and the whole room felt briefly kind. Nazar gives these small observations a quiet place to live.",What did you notice that you would want to remember later?,#nazarapp #quietbeauty #softlife #ordinarymagic,Keep it in Nazar.,"The laundry was still warm when I folded it, and the whole room felt briefly kind. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #quietbeauty #softlife #ordinarymagic

Keep it in Nazar."
85,reels/nazar-reel-085.mp4,quiet beauty,11,open book,The book stayed open on the table like it trusted me to come back.,The book stayed open on the table like it trusted me to come back.,What ordinary thing looked briefly forgiven?,#nazarapp #quietbeauty #softlife #ordinarymagic,Open Nazar when something small stays with you.,"The book stayed open on the table like it trusted me to come back.

What ordinary thing looked briefly forgiven?

#nazarapp #quietbeauty #softlife #ordinarymagic

Open Nazar when something small stays with you.",The book stayed open on the table like it trusted me to come back.,What is the smallest thing you saved today?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Send it to the friend who notices everything.,"The book stayed open on the table like it trusted me to come back.

What is the smallest thing you saved today?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Send it to the friend who notices everything.","The book stayed open on the table like it trusted me to come back. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Keep looking softly.,"The book stayed open on the table like it trusted me to come back. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Keep looking softly.",The book stayed open on the table like it trusted me to come back. Nazar gives these small observations a quiet place to live.,What did today give you that is worth writing down?,#nazarapp #quietbeauty #softlife #ordinarymagic,Open Nazar and save one thing.,"The book stayed open on the table like it trusted me to come back. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #quietbeauty #softlife #ordinarymagic

Open Nazar and save one thing."
86,reels/nazar-reel-086.mp4,quiet beauty,12,glass water,The glass of water caught a rectangle of window light and held it without spilling.,The glass of water caught a rectangle of window light and held it without spilling.,What small beauty did you catch before it changed?,#nazarapp #quietbeauty #softlife #ordinarymagic,Try Nazar.,"The glass of water caught a rectangle of window light and held it without spilling.

What small beauty did you catch before it changed?

#nazarapp #quietbeauty #softlife #ordinarymagic

Try Nazar.",The glass of water caught a rectangle of window light and held it without spilling.,Would you have noticed this?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Send this to someone who notices small things.,"The glass of water caught a rectangle of window light and held it without spilling.

Would you have noticed this?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Send this to someone who notices small things.","The glass of water caught a rectangle of window light and held it without spilling. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Return to the smallest true thing.,"The glass of water caught a rectangle of window light and held it without spilling. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Return to the smallest true thing.",The glass of water caught a rectangle of window light and held it without spilling. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #quietbeauty #softlife #ordinarymagic,Try Nazar.,"The glass of water caught a rectangle of window light and held it without spilling. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #quietbeauty #softlife #ordinarymagic

Try Nazar."
87,reels/nazar-reel-087.mp4,quiet beauty,8,quiet sink,One spoon in the sink reflected the ceiling light like a tiny moon.,One spoon in the sink reflected the ceiling light like a tiny moon.,What softened the room today?,#nazarapp #quietbeauty #softlife #ordinarymagic,Keep one small thing in Nazar.,"One spoon in the sink reflected the ceiling light like a tiny moon.

What softened the room today?

#nazarapp #quietbeauty #softlife #ordinarymagic

Keep one small thing in Nazar.",One spoon in the sink reflected the ceiling light like a tiny moon.,What tiny detail did you almost miss today?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Save this before the day gets loud.,"One spoon in the sink reflected the ceiling light like a tiny moon.

What tiny detail did you almost miss today?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Save this before the day gets loud.","One spoon in the sink reflected the ceiling light like a tiny moon. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Carry the detail with you.,"One spoon in the sink reflected the ceiling light like a tiny moon. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Carry the detail with you.",One spoon in the sink reflected the ceiling light like a tiny moon. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #quietbeauty #softlife #ordinarymagic,Download Nazar.,"One spoon in the sink reflected the ceiling light like a tiny moon. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #quietbeauty #softlife #ordinarymagic

Download Nazar."
88,reels/nazar-reel-088.mp4,quiet beauty,9,curtain edge,The curtain lifted once in the breeze and showed the room how to breathe.,The curtain lifted once in the breeze and showed the room how to breathe.,What ordinary thing looked briefly forgiven?,#nazarapp #quietbeauty #softlife #ordinarymagic,Notice with Nazar.,"The curtain lifted once in the breeze and showed the room how to breathe.

What ordinary thing looked briefly forgiven?

#nazarapp #quietbeauty #softlife #ordinarymagic

Notice with Nazar.",The curtain lifted once in the breeze and showed the room how to breathe.,Why do moments like this stay with us?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Share this with someone who would understand.,"The curtain lifted once in the breeze and showed the room how to breathe.

Why do moments like this stay with us?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Share this with someone who would understand.","The curtain lifted once in the breeze and showed the room how to breathe. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Let the ordinary be enough.,"The curtain lifted once in the breeze and showed the room how to breathe. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Let the ordinary be enough.",The curtain lifted once in the breeze and showed the room how to breathe. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #quietbeauty #softlife #ordinarymagic,Start noticing with Nazar.,"The curtain lifted once in the breeze and showed the room how to breathe. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #quietbeauty #softlife #ordinarymagic

Start noticing with Nazar."
89,reels/nazar-reel-089.mp4,quiet beauty,10,soft sweater,The sweater on the chair looked like someone sitting there in a gentler version of the day.,The sweater on the chair looked like someone sitting there in a gentler version of the day.,What small beauty did you catch before it changed?,#nazarapp #quietbeauty #softlife #ordinarymagic,Save it in Nazar.,"The sweater on the chair looked like someone sitting there in a gentler version of the day.

What small beauty did you catch before it changed?

#nazarapp #quietbeauty #softlife #ordinarymagic

Save it in Nazar.",The sweater on the chair looked like someone sitting there in a gentler version of the day.,Who would understand this kind of noticing?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Keep this for your next quiet moment.,"The sweater on the chair looked like someone sitting there in a gentler version of the day.

Who would understand this kind of noticing?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Keep this for your next quiet moment.","The sweater on the chair looked like someone sitting there in a gentler version of the day. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Let one small thing stay with you.,"The sweater on the chair looked like someone sitting there in a gentler version of the day. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Let one small thing stay with you.",The sweater on the chair looked like someone sitting there in a gentler version of the day. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #quietbeauty #softlife #ordinarymagic,Keep it in Nazar.,"The sweater on the chair looked like someone sitting there in a gentler version of the day. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #quietbeauty #softlife #ordinarymagic

Keep it in Nazar."
90,reels/nazar-reel-090.mp4,quiet beauty,11,blue dusk,Blue dusk entered the room slowly enough that I did not notice until everything was softer.,Blue dusk entered the room slowly enough that I did not notice until everything was softer.,What softened the room today?,#nazarapp #quietbeauty #softlife #ordinarymagic,Open Nazar when something small stays with you.,"Blue dusk entered the room slowly enough that I did not notice until everything was softer.

What softened the room today?

#nazarapp #quietbeauty #softlife #ordinarymagic

Open Nazar when something small stays with you.",Blue dusk entered the room slowly enough that I did not notice until everything was softer.,What is the smallest thing you saved today?,#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis,Send it to the friend who notices everything.,"Blue dusk entered the room slowly enough that I did not notice until everything was softer.

What is the smallest thing you saved today?

#nazarapp #quietbeauty #softlife #ordinarymagic #sharethis

Send it to the friend who notices everything.","Blue dusk entered the room slowly enough that I did not notice until everything was softer. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty,Keep looking softly.,"Blue dusk entered the room slowly enough that I did not notice until everything was softer. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #quietbeauty #softlife #ordinarymagic #quietbeauty

Keep looking softly.",Blue dusk entered the room slowly enough that I did not notice until everything was softer. Nazar gives these small observations a quiet place to live.,What did today give you that is worth writing down?,#nazarapp #quietbeauty #softlife #ordinarymagic,Open Nazar and save one thing.,"Blue dusk entered the room slowly enough that I did not notice until everything was softer. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #quietbeauty #softlife #ordinarymagic

Open Nazar and save one thing."
91,reels/nazar-reel-091.mp4,things people usually miss,7,elevator sigh,The elevator made its tired little sigh before the doors opened.,The elevator made its tired little sigh before the doors opened.,What did you notice that most people would miss?,#nazarapp #thingstomiss #noticing #everydaybeauty,Try Nazar.,"The elevator made its tired little sigh before the doors opened.

What did you notice that most people would miss?

#nazarapp #thingstomiss #noticing #everydaybeauty

Try Nazar.",The elevator made its tired little sigh before the doors opened.,Would you have noticed this?,#nazarapp #thingstomiss #noticing #everydaybeauty #sharethis,Send this to someone who notices small things.,"The elevator made its tired little sigh before the doors opened.

Would you have noticed this?

#nazarapp #thingstomiss #noticing #everydaybeauty #sharethis

Send this to someone who notices small things.","The elevator made its tired little sigh before the doors opened. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #thingstomiss #noticing #everydaybeauty #quietbeauty,Return to the smallest true thing.,"The elevator made its tired little sigh before the doors opened. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #thingstomiss #noticing #everydaybeauty #quietbeauty

Return to the smallest true thing.",The elevator made its tired little sigh before the doors opened. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #thingstomiss #noticing #everydaybeauty,Try Nazar.,"The elevator made its tired little sigh before the doors opened. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #thingstomiss #noticing #everydaybeauty

Try Nazar."
92,reels/nazar-reel-092.mp4,things people usually miss,8,receipt shadow,The receipt under the glass made a shadow thinner than a thread.,The receipt under the glass made a shadow thinner than a thread.,What tiny detail proved the day was alive?,#nazarapp #thingstomiss #noticing #everydaybeauty,Keep one small thing in Nazar.,"The receipt under the glass made a shadow thinner than a thread.

What tiny detail proved the day was alive?

#nazarapp #thingstomiss #noticing #everydaybeauty

Keep one small thing in Nazar.",The receipt under the glass made a shadow thinner than a thread.,What tiny detail did you almost miss today?,#nazarapp #thingstomiss #noticing #everydaybeauty #sharethis,Save this before the day gets loud.,"The receipt under the glass made a shadow thinner than a thread.

What tiny detail did you almost miss today?

#nazarapp #thingstomiss #noticing #everydaybeauty #sharethis

Save this before the day gets loud.","The receipt under the glass made a shadow thinner than a thread. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #thingstomiss #noticing #everydaybeauty #quietbeauty,Carry the detail with you.,"The receipt under the glass made a shadow thinner than a thread. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #thingstomiss #noticing #everydaybeauty #quietbeauty

Carry the detail with you.",The receipt under the glass made a shadow thinner than a thread. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #thingstomiss #noticing #everydaybeauty,Download Nazar.,"The receipt under the glass made a shadow thinner than a thread. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #thingstomiss #noticing #everydaybeauty

Download Nazar."
93,reels/nazar-reel-093.mp4,things people usually miss,9,door paint,The paint was worn away exactly where every hand expects the door to open.,The paint was worn away exactly where every hand expects the door to open.,What small thing kept happening quietly in the background?,#nazarapp #thingstomiss #noticing #everydaybeauty,Notice with Nazar.,"The paint was worn away exactly where every hand expects the door to open.

What small thing kept happening quietly in the background?

#nazarapp #thingstomiss #noticing #everydaybeauty

Notice with Nazar.",The paint was worn away exactly where every hand expects the door to open.,Why do moments like this stay with us?,#nazarapp #thingstomiss #noticing #everydaybeauty #sharethis,Share this with someone who would understand.,"The paint was worn away exactly where every hand expects the door to open.

Why do moments like this stay with us?

#nazarapp #thingstomiss #noticing #everydaybeauty #sharethis

Share this with someone who would understand.","The paint was worn away exactly where every hand expects the door to open. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #thingstomiss #noticing #everydaybeauty #quietbeauty,Let the ordinary be enough.,"The paint was worn away exactly where every hand expects the door to open. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #thingstomiss #noticing #everydaybeauty #quietbeauty

Let the ordinary be enough.",The paint was worn away exactly where every hand expects the door to open. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #thingstomiss #noticing #everydaybeauty,Start noticing with Nazar.,"The paint was worn away exactly where every hand expects the door to open. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #thingstomiss #noticing #everydaybeauty

Start noticing with Nazar."
